country,country_iso2,document_type,title,year,document_url,source_filename,path_pdf,path_md,sha256,md5,size_bytes,page_count,ocr_reader
Dominica,DM,Law,Education Act - 1997,1997,https://media.unesco.org/sites/default/files/webform/r2e002/3862bc275af5b332e7f1044f8c18f2641da03b32.pdf,3862bc275af5b332e7f1044f8c18f2641da03b32.pdf,documents/dominica/r2e002/3862bc275af5b332e7f1044f8c18f2641da03b32/document.pdf,documents/dominica/r2e002/3862bc275af5b332e7f1044f8c18f2641da03b32/document.md,3214b84c3633d83f9a903e19c9bda41a4b5dad49b025cb1551951963e6ac850c,897653ca236b0d3e7d027c2ba56d89b5,2414468,116,reducto
Dominica,DM,Law,Education (Council on early childhood Education) Order - 2005,2005,https://media.unesco.org/sites/default/files/webform/r2e002/8c26ed7216783e1f6cb300febf47667c564e19b6.pdf,8c26ed7216783e1f6cb300febf47667c564e19b6.pdf,documents/dominica/r2e002/8c26ed7216783e1f6cb300febf47667c564e19b6/document.pdf,documents/dominica/r2e002/8c26ed7216783e1f6cb300febf47667c564e19b6/document.md,3a619dd0ab477e084d8c27022a8b4b9ea50b4698d3dc7dc87f5367b90706346f,c5fa6dcbf205022f6d9840647923e606,15054,6,docling+structure-repair
Dominica,DM,Constitution,Constitution,,https://media.unesco.org/sites/default/files/webform/r2e002/dae5058853b5bb9585c00eb6900662bc1df88078.pdf,dae5058853b5bb9585c00eb6900662bc1df88078.pdf,documents/dominica/r2e002/dae5058853b5bb9585c00eb6900662bc1df88078/document.pdf,documents/dominica/r2e002/dae5058853b5bb9585c00eb6900662bc1df88078/document.md,8f2bab99026f1d47c939d9aa4b2d3215fcb048ffbba05edd6ab02785b1bd8d60,24d5f4654a8e6c96c216a9e5e883dade,3075981,112,llamaparse
Dominica,DM,Law,Education (Early Childhood Education) Regulations - 2002,2002,https://media.unesco.org/sites/default/files/webform/r2e002/ff5c602e408e429912abbdd544e554993131d5cc.pdf,ff5c602e408e429912abbdd544e554993131d5cc.pdf,documents/dominica/r2e002/ff5c602e408e429912abbdd544e554993131d5cc/document.pdf,documents/dominica/r2e002/ff5c602e408e429912abbdd544e554993131d5cc/document.md,f83ec471cc8c92645208d922e2b579454194e7daf9399f96d45f55013c42606b,66395ec1b0cf91f5a3b618324298d248,58213,28,docling+structure-repair
Dominican Republic,DO,Consultations,National Report submitted for the 11th Consultation on the 1960 Convention and Recommendation,1960,https://media.unesco.org/sites/default/files/webform/r2e002/dominican-republic_informe-discriminacion-de-unesco-050724-final.pdf,dominican-republic_informe-discriminacion-de-unesco-050724-final.pdf,documents/dominican-republic/r2e002/dominican-republic-informe-discriminacion-de-unesco-050724-final/document.pdf,documents/dominican-republic/r2e002/dominican-republic-informe-discriminacion-de-unesco-050724-final/document.md,cdc9d4e5d1561a05387757234faa73a8791a26813d5dd1228e6831942534799f,904cdad9ddbe45927f0bdf43023e1290,823003,41,docling+structure-repair
Dominican Republic,DO,Consultations,National Report submitted for the 7th Consultation on the 1974 Recommendation,1974,https://media.unesco.org/sites/default/files/webform/r2e002/dominican-republic.pdf,dominican-republic.pdf,documents/dominican-republic/r2e002/dominican-republic/document.pdf,documents/dominican-republic/r2e002/dominican-republic/document.md,392da429e47a2fd48c2cff0a6254479a22c0863f704f6f63be7c020e8ac7f857,485683d45797059fdadab4c3b3e49674,479601,47,docling+structure-repair
Ecuador,EC,Law,Organic Law of Intercultural Education - 2011,2011,https://media.unesco.org/sites/default/files/webform/r2e002/7ecc0174a1ff760e9ddd6397876e8d03e3fc1a43.pdf,7ecc0174a1ff760e9ddd6397876e8d03e3fc1a43.pdf,documents/ecuador/r2e002/7ecc0174a1ff760e9ddd6397876e8d03e3fc1a43/document.pdf,documents/ecuador/r2e002/7ecc0174a1ff760e9ddd6397876e8d03e3fc1a43/document.md,8656dc36e7e5203160b21cefae93859b3b5570bad6a61fe8e87432a3911e4f6c,d07d7362c79bb652ffbd142240a8a4e4,5279658,46,llamaparse
Egypt,EG,Law,"Education Law (Law No. 139 of 1981), and its amendments up to 2012",2012,https://media.unesco.org/sites/default/files/webform/r2e002/9b9de9c1ffa010f648abdce8d8ac4f54fa14e20b.pdf,9b9de9c1ffa010f648abdce8d8ac4f54fa14e20b.pdf,documents/egypt/r2e002/9b9de9c1ffa010f648abdce8d8ac4f54fa14e20b/document.pdf,documents/egypt/r2e002/9b9de9c1ffa010f648abdce8d8ac4f54fa14e20b/document.md,25667c01f67d2f32221877440338d5d2397ddd6b6792dd91ca2671cba954e545,bcd3c15e6796b00fd6c5b57338c09bfc,299109,15,docling+structure-repair
Egypt,EG,Constitution,Constitution of The Arab Republic of Egypt - 2014,2014,https://media.unesco.org/sites/default/files/webform/r2e002/c137eb897099d74b6f56440e6f02ba713f754758.pdf,c137eb897099d74b6f56440e6f02ba713f754758.pdf,documents/egypt/r2e002/c137eb897099d74b6f56440e6f02ba713f754758/document.pdf,documents/egypt/r2e002/c137eb897099d74b6f56440e6f02ba713f754758/document.md,ddcaad6a246a045eae6632abd6194e86f0ebbf5f2c2dd8095954dff1ba7dfabd,39d9c4549fdfa55bf83cce5c5cdaf978,1211749,63,llamaparse
Egypt,EG,Consultations,National Report submitted for the 11th Consultation on the 1960 Convention and Recommendation,1960,https://media.unesco.org/sites/default/files/webform/r2e002/egypt-report-for-the-11th-consultation.pdf,egypt-report-for-the-11th-consultation.pdf,documents/egypt/r2e002/egypt-report-for-the-11th-consultation/document.pdf,documents/egypt/r2e002/egypt-report-for-the-11th-consultation/document.md,6864707d5dffee3f9d2da22acf8ad73028f3673fb0592e3664844660e717888c,684679e0d6eb4e396259978756e20700,5977770,139,unstructured-enrich
