country,country_iso2,document_type,title,year,document_url,source_filename,path_pdf,path_md,sha256,md5,size_bytes,page_count,ocr_reader
Bosnia and Herzegovina,BA,Consultations,National Report submitted for the 11th Consultation on the 1960 Convention and Recommendation,1960,https://media.unesco.org/sites/default/files/webform/r2e002/bosnia-and-herzegovina-report-on-11-consultation-on-implementation-of-the-1960-convention-and-recommendation-against-discrimination-in-education.pdf,bosnia-and-herzegovina-report-on-11-consultation-on-implementation-of-the-1960-convention-and-recommendation-against-discrimination-in-education.pdf,documents/bosnia-and-herzegovina/r2e002/bosnia-and-herzegovina-report-on-11-consultation-on-implementation-of-the-1960-convention-and-recommendation-against-discrimination-in-education/document.pdf,documents/bosnia-and-herzegovina/r2e002/bosnia-and-herzegovina-report-on-11-consultation-on-implementation-of-the-1960-convention-and-recommendation-against-discrimination-in-education/document.md,484b4740f19be29c19c104d02898d93e07a8a0fc590941e3a04202c77899f981,a98801d65add0055e8c2c11ac98105f6,719908,39,docling+structure-repair
Botswana,BW,Constitution,Constitution of Botswana - 1966 (as reviewed in 2006),2006,https://media.unesco.org/sites/default/files/webform/r2e002/11c00b4cc83f124109d1f13af8293a2ee9e5ce4a.pdf,11c00b4cc83f124109d1f13af8293a2ee9e5ce4a.pdf,documents/botswana/r2e002/11c00b4cc83f124109d1f13af8293a2ee9e5ce4a/document.pdf,documents/botswana/r2e002/11c00b4cc83f124109d1f13af8293a2ee9e5ce4a/document.md,3b1d332c2de73cb4d12353d46f108f7e1c08b719abb19750fa0578bba79a6159,a345b448caa5b80f93b96339b6bf4af8,251565,59,docling+structure-repair
Botswana,BW,Law,Vocational training Act - as amended in 2012,2012,https://media.unesco.org/sites/default/files/webform/r2e002/e0652246abd40ddd956676f5a43e7b26f0ad5604.pdf,e0652246abd40ddd956676f5a43e7b26f0ad5604.pdf,documents/botswana/r2e002/e0652246abd40ddd956676f5a43e7b26f0ad5604/document.pdf,documents/botswana/r2e002/e0652246abd40ddd956676f5a43e7b26f0ad5604/document.md,d1d4bec8897b3a1877a8409972bf3a088aff1a30df98f7e5306bdc15e835137e,3e202e3e30c404c17a486dd3585ce850,83064,8,docling+structure-repair
Brazil,BR,Law,Law N° 13.146 of 6th of July 2015,2015,https://media.unesco.org/sites/default/files/webform/r2e002/4a85918f450f2929189d191fcd91424a75fa37f3.pdf,4a85918f450f2929189d191fcd91424a75fa37f3.pdf,documents/brazil/r2e002/4a85918f450f2929189d191fcd91424a75fa37f3/document.pdf,documents/brazil/r2e002/4a85918f450f2929189d191fcd91424a75fa37f3/document.md,4c197f96de3f6a139457580b1e26cd81e663656acacfa0b65e1b3fe1d00f7dc7,5df253fbf289e378df0cf41c48fad000,729119,31,docling+structure-repair
Brazil,BR,Law,Law No. 13.415 of 2017,2017,https://media.unesco.org/sites/default/files/webform/r2e002/795c2441772189d2e7f9413931262e4d34bd27d2.pdf,795c2441772189d2e7f9413931262e4d34bd27d2.pdf,documents/brazil/r2e002/795c2441772189d2e7f9413931262e4d34bd27d2/document.pdf,documents/brazil/r2e002/795c2441772189d2e7f9413931262e4d34bd27d2/document.md,8832acfd5a9f0dc4e50a8242d8d1f3774d92b4c38160edc4246b707dabf893a0,fdb0daa218736a4828cc43a59359170d,285090,6,docling+structure-repair
Brazil,BR,Consultations,National Report submitted for the 7th Consultation on the 1974 Recommendation,1974,https://media.unesco.org/sites/default/files/webform/r2e002/brazil_for_publication.pdf,brazil_for_publication.pdf,documents/brazil/r2e002/brazil-for-publication/document.pdf,documents/brazil/r2e002/brazil-for-publication/document.md,57832218f9a83334c41c33cf6f12a8ddd06e325ff69d5eafddd1bf7cb25ee292,dbb97b0d9f9e13589a4dc81be2c75344,504239,36,docling+structure-repair
Brazil,BR,Constitution,Constitution of Brazil - 1988,1988,https://media.unesco.org/sites/default/files/webform/r2e002/c5393a500fd98e969c638350738b25e25ab033bc.pdf,c5393a500fd98e969c638350738b25e25ab033bc.pdf,documents/brazil/r2e002/c5393a500fd98e969c638350738b25e25ab033bc/document.pdf,documents/brazil/r2e002/c5393a500fd98e969c638350738b25e25ab033bc/document.md,5857928a382bacb46d8d9c3f6f712176f977dcc5164c42c620174672541b2dd8,d6d3b29314cfc4f66e711e2e99a764c0,415883,47,docling+structure-repair
Brazil,BR,Law,"Law N°11.692, 10th of June of 2008",2008,https://media.unesco.org/sites/default/files/webform/r2e002/da973af5149656f5c48f081b2e7765b98454e07e.pdf,da973af5149656f5c48f081b2e7765b98454e07e.pdf,documents/brazil/r2e002/da973af5149656f5c48f081b2e7765b98454e07e/document.pdf,documents/brazil/r2e002/da973af5149656f5c48f081b2e7765b98454e07e/document.md,0b2a25c8350dc14ae24df6d1cf5f130a9f0f978aba82e603435b1b7f1034b65b,12c16b4c96be5b417f9753d2422f80b2,270511,6,docling+structure-repair
British Virgin Islands,VG,Constitution,Constitution of the Virgin Islands - 2007,2007,https://media.unesco.org/sites/default/files/webform/r2e002/250bb21cc618febbb6484443596d3a32aaaeddb8.pdf,250bb21cc618febbb6484443596d3a32aaaeddb8.pdf,documents/british-virgin-islands/r2e002/250bb21cc618febbb6484443596d3a32aaaeddb8/document.pdf,documents/british-virgin-islands/r2e002/250bb21cc618febbb6484443596d3a32aaaeddb8/document.md,4594c8aa712df6bd0dd7c9420915b5e58a6ca6142b41163a31343efdcca88532,6c16b1fc352d159a808fa85e208591f2,432818,56,docling+structure-repair
Brunei Darussalam,BN,Law,Education (Brunei Board of Examinations) Act - 1984,1984,https://media.unesco.org/sites/default/files/webform/r2e002/46309d92024e943b0bda3de4eefc9015aafe2ba0.pdf,46309d92024e943b0bda3de4eefc9015aafe2ba0.pdf,documents/brunei-darussalam/r2e002/46309d92024e943b0bda3de4eefc9015aafe2ba0/document.pdf,documents/brunei-darussalam/r2e002/46309d92024e943b0bda3de4eefc9015aafe2ba0/document.md,426504a9662b27fdbee2de2aa1bb81f9d4b40efe750cf7d6e107415bf698af2d,28d4d00498afd129533f8e33c001198b,18770,7,docling+structure-repair
Brunei Darussalam,BN,Law,Education Order - 2003,2003,https://media.unesco.org/sites/default/files/webform/r2e002/a41717f30ccea3db295f0d9a2083379aeeae2559.pdf,a41717f30ccea3db295f0d9a2083379aeeae2559.pdf,documents/brunei-darussalam/r2e002/a41717f30ccea3db295f0d9a2083379aeeae2559/document.pdf,documents/brunei-darussalam/r2e002/a41717f30ccea3db295f0d9a2083379aeeae2559/document.md,407d8fd6439ea0710fc6aa443dc527cc919913996eccf90d2e22f8c3b109fcc4,1144cfc45a1a4ebd1ef3625071b95f14,467518,66,datalab
Brunei Darussalam,BN,Decree,"Child Care Centres Order, 2006",2006,https://media.unesco.org/sites/default/files/webform/r2e002/cf903b8130f4345d07906a7d3685cf67f98d9761.pdf,cf903b8130f4345d07906a7d3685cf67f98d9761.pdf,documents/brunei-darussalam/r2e002/cf903b8130f4345d07906a7d3685cf67f98d9761/document.pdf,documents/brunei-darussalam/r2e002/cf903b8130f4345d07906a7d3685cf67f98d9761/document.md,2f49a277bccc3d673f3b1a769ad7fcd9b8d81a04fab324674ca211daba74e74a,cbc0c17d7eb605fe85310542fbc7e642,213864,36,llamaparse
Bulgaria,BG,Law,Vocational Education and Training Act - 1999 (as amended in 2006),2006,https://media.unesco.org/sites/default/files/webform/r2e002/46d8fa71cda79dfa5940a4b43f2408d274603937.pdf,46d8fa71cda79dfa5940a4b43f2408d274603937.pdf,documents/bulgaria/r2e002/46d8fa71cda79dfa5940a4b43f2408d274603937/document.pdf,documents/bulgaria/r2e002/46d8fa71cda79dfa5940a4b43f2408d274603937/document.md,02948c1486032db13648d6f0216fcdf5c6585f23205287ca438205eb0b8dc4cc,af623aeaaac52e81efc63ea191a84ff3,148156,27,docling+structure-repair
Bulgaria,BG,Law,Higher Education Act with Amendments,nan,https://media.unesco.org/sites/default/files/webform/r2e002/4d94eb03071f7f515d2919b1e893bb321ab41c01.pdf,4d94eb03071f7f515d2919b1e893bb321ab41c01.pdf,documents/bulgaria/r2e002/4d94eb03071f7f515d2919b1e893bb321ab41c01/document.pdf,documents/bulgaria/r2e002/4d94eb03071f7f515d2919b1e893bb321ab41c01/document.md,2a0a718958933f628a422a90656a937d37f06aa4d9b1cf9f9a0e9cae0dd7f902,e7eadc3d8c784c6276e964e9fe11ca3c,548608,74,docling+content-repair
Bulgaria,BG,Law,Public Education Act - 1991 (as amended in 2011),2011,https://media.unesco.org/sites/default/files/webform/r2e002/71d3109137377456e099051f0144857a4580b2a9.pdf,71d3109137377456e099051f0144857a4580b2a9.pdf,documents/bulgaria/r2e002/71d3109137377456e099051f0144857a4580b2a9/document.pdf,documents/bulgaria/r2e002/71d3109137377456e099051f0144857a4580b2a9/document.md,91d79ee2889069fecaaa2b940dc0047c63a7a4e9b3377f4ede98bbe90d1082b9,982b22d4f806611c27c1fd82c16a2998,171487,39,docling+structure-repair
Bulgaria,BG,Constitution,Constitution of The Republic of Bulgaria - 1991 ( as amended in 2007),2007,https://media.unesco.org/sites/default/files/webform/r2e002/a19e069e000921be355541913cb8b7c8b9446efd.pdf,a19e069e000921be355541913cb8b7c8b9446efd.pdf,documents/bulgaria/r2e002/a19e069e000921be355541913cb8b7c8b9446efd/document.pdf,documents/bulgaria/r2e002/a19e069e000921be355541913cb8b7c8b9446efd/document.md,716455d08efc40dfc996684aea555f8230cdf1e6a00126ecb707f405fd3d28f4,d32acb6ce8f560a87e369836d6ae3f5c,90473,36,docling+structure-repair
Bulgaria,BG,Law,"Level of Education, General Education Minimum and Curriculum Act - 1999",1999,https://media.unesco.org/sites/default/files/webform/r2e002/b8108703fd84b75121f385eaa29fcbe32f80dfc6.pdf,b8108703fd84b75121f385eaa29fcbe32f80dfc6.pdf,documents/bulgaria/r2e002/b8108703fd84b75121f385eaa29fcbe32f80dfc6/document.pdf,documents/bulgaria/r2e002/b8108703fd84b75121f385eaa29fcbe32f80dfc6/document.md,4141b444822be914a2057c6196332c7a4afd12ebee5be88d8d05088c5b7ea10f,328d4f570bd7be5f5a87c7668d079721,103548,8,docling+structure-repair
Burkina Faso,BF,Decree,Décret n° 2009-644 portant organisation de l'éducation non formelle - 2009,2009,https://media.unesco.org/sites/default/files/webform/r2e002/4c871006f20c6197796dfb1076160d2aa1769104.pdf,4c871006f20c6197796dfb1076160d2aa1769104.pdf,documents/burkina-faso/r2e002/4c871006f20c6197796dfb1076160d2aa1769104/document.pdf,documents/burkina-faso/r2e002/4c871006f20c6197796dfb1076160d2aa1769104/document.md,607378dd8aac584eedbac1135bd2b2a47de5db7361962f918d703dcb3cb5a428,c99e5f2a5a3b6bf9b8649d2fa5b0bcbb,1669119,10,llamaparse
Burkina Faso,BF,Law,Loi portant loi d'orientation de l'éducation - 2007,2007,https://media.unesco.org/sites/default/files/webform/r2e002/5ddf10a8470779f05b84df3b60519ee77da7765a.pdf,5ddf10a8470779f05b84df3b60519ee77da7765a.pdf,documents/burkina-faso/r2e002/5ddf10a8470779f05b84df3b60519ee77da7765a/document.pdf,documents/burkina-faso/r2e002/5ddf10a8470779f05b84df3b60519ee77da7765a/document.md,733122e63d9ab93a15e4a8a6e39506f1a59b8f9e5e7a297ef84cf763cd687ce6,e06626c6a2ea2efac505a4f59307a04e,11744485,23,llamaparse
Burkina Faso,BF,Decree,"Décret n° 2010-146 portant création, attributions, composition, organisation et fonctionnement de la Commission nationale de l’enseignement et de la formation techniques et professionnels - 2010",2010,https://media.unesco.org/sites/default/files/webform/r2e002/c7fa197b4309676dadfd850c0b365e6896d6f93d.pdf,c7fa197b4309676dadfd850c0b365e6896d6f93d.pdf,documents/burkina-faso/r2e002/c7fa197b4309676dadfd850c0b365e6896d6f93d/document.pdf,documents/burkina-faso/r2e002/c7fa197b4309676dadfd850c0b365e6896d6f93d/document.md,a88324b4af6cc852ec21d6bdd98ba55f435747f11f96efafe66b4f1f145b04b4,ff93d0123fddfae923031787c60f9991,344844,10,paddleocr
Burkina Faso,BF,Decree,Décret n° 2008-373 portant organisation de l'enseignement secondaire - 2008,2008,https://media.unesco.org/sites/default/files/webform/r2e002/d41c88d29f496633e5380fc1881788a9632308fc.pdf,d41c88d29f496633e5380fc1881788a9632308fc.pdf,documents/burkina-faso/r2e002/d41c88d29f496633e5380fc1881788a9632308fc/document.pdf,documents/burkina-faso/r2e002/d41c88d29f496633e5380fc1881788a9632308fc/document.md,7d11ce9d796e5ea8d1c172764eada1214280b01661cb998a0be3b91aae4ee2bf,c026cedd0ee76c9769a71ba2aa660773,176774,5,reducto
Burkina Faso,BF,Decree,Décret n° 2008-236 portant organisation de l'enseignement primaire - 2008,2008,https://media.unesco.org/sites/default/files/webform/r2e002/d4c1d1db6d9567f76d205a555f91371aca58efa2.pdf,d4c1d1db6d9567f76d205a555f91371aca58efa2.pdf,documents/burkina-faso/r2e002/d4c1d1db6d9567f76d205a555f91371aca58efa2/document.pdf,documents/burkina-faso/r2e002/d4c1d1db6d9567f76d205a555f91371aca58efa2/document.md,c61130cbca983d31085fa26cfb34f947b2b6a83760b68946f7a4dd040e1de343,359f83dcce52471b8220d6d0bc846cee,570204,19,llamaparse
Burundi,BI,Decree,Décret N°100/09 du 12 janvier 2015 portant organisation et fonctionnement de l’enseignement et la formation technique et professionnelle,2015,https://media.unesco.org/sites/default/files/webform/r2e002/03468008a683ea09bff56b501a2a00365f5807e1.pdf,03468008a683ea09bff56b501a2a00365f5807e1.pdf,documents/burundi/r2e002/03468008a683ea09bff56b501a2a00365f5807e1/document.pdf,documents/burundi/r2e002/03468008a683ea09bff56b501a2a00365f5807e1/document.md,cb7d02c98eed6550e84dc9144314c97d69c8bd5d70af2313018b222c5f6bb6af,4e3e09c75f03385d8514d8eb30729140,4881405,11,llamaparse
Burundi,BI,Law,Loi enseignement superieur - 2011,2011,https://media.unesco.org/sites/default/files/webform/r2e002/0e4ff28ae6b9439ce447e7bcc59dd016dd68f5d1.pdf,0e4ff28ae6b9439ce447e7bcc59dd016dd68f5d1.pdf,documents/burundi/r2e002/0e4ff28ae6b9439ce447e7bcc59dd016dd68f5d1/document.pdf,documents/burundi/r2e002/0e4ff28ae6b9439ce447e7bcc59dd016dd68f5d1/document.md,30ef5428ac606a7e61311ad1a5d50180bce826a00bd19a06c5a128c2b6d35e80,b7b429eb2e3322c6d80e8466536ba57a,18028260,34,llamaparse
Burundi,BI,Programme/plan,Plan sectoriel de développement de l’éducation et de la formation - 2012/2020,2020,https://media.unesco.org/sites/default/files/webform/r2e002/2834ebb190beafefbcf0c71ed64cc8273121766a.pdf,2834ebb190beafefbcf0c71ed64cc8273121766a.pdf,documents/burundi/r2e002/2834ebb190beafefbcf0c71ed64cc8273121766a/document.pdf,documents/burundi/r2e002/2834ebb190beafefbcf0c71ed64cc8273121766a/document.md,04c461446cafc175476b813c90fa1dc678830e40e431ac00c12acd333ad3a5cb,d712d69cec5d608693214dba8583761e,689325,54,docling+structure-repair
Burundi,BI,Decree,Décret N°100/147 du 28 juillet 2017 portant fixation des curricula de l’enseignement des métiers et de la formation professionnelle,2017,https://media.unesco.org/sites/default/files/webform/r2e002/3f1482cbbb17b400f03c6a676d783baf2b8e1feb.pdf,3f1482cbbb17b400f03c6a676d783baf2b8e1feb.pdf,documents/burundi/r2e002/3f1482cbbb17b400f03c6a676d783baf2b8e1feb/document.pdf,documents/burundi/r2e002/3f1482cbbb17b400f03c6a676d783baf2b8e1feb/document.md,6b51463d7581469005c22c0c8ca09ac8e43b6650ef8bc5a81b49959434f742eb,eb16956766867de0f2586fc98db95056,6070683,8,datalab
Burundi,BI,Constitution,Constitution de la République de,,https://media.unesco.org/sites/default/files/webform/r2e002/3fcad23d598e0415f4cceb9fc45a3424f9d9e54d.pdf,3fcad23d598e0415f4cceb9fc45a3424f9d9e54d.pdf,documents/burundi/r2e002/3fcad23d598e0415f4cceb9fc45a3424f9d9e54d/document.pdf,documents/burundi/r2e002/3fcad23d598e0415f4cceb9fc45a3424f9d9e54d/document.md,d47a7b4e0c18f3e67f814ede8688cd5a2d6fc11ab57fe2e2c34afa4e673e06f8,05f4220704978e0e5d04940cdd85d3d9,4686702,59,reducto
Burundi,BI,Decree,Décret N°100/04 du 12 janvier 2015 portant conditions requises pour exercer la profession d’enseignant dans les établissements d’enseignements supérieur au,2015,https://media.unesco.org/sites/default/files/webform/r2e002/41db30335dcd2a757b26a8d743a3b81bf7b1addd.pdf,41db30335dcd2a757b26a8d743a3b81bf7b1addd.pdf,documents/burundi/r2e002/41db30335dcd2a757b26a8d743a3b81bf7b1addd/document.pdf,documents/burundi/r2e002/41db30335dcd2a757b26a8d743a3b81bf7b1addd/document.md,0a18424caecab28bff35e314419ea3f558ec803bca62819f85efbf81879b25c1,2d0d47c915b1352b292bc5fbba45201a,6618455,7,unstructured
Burundi,BI,Decree,"Ordonnance ministérielle n° 610/1224 du 21/07/2020 portant modalités de réintégration, transfert et changement de section des élèves de l’enseignement fondamental et post fondamental",2020,https://media.unesco.org/sites/default/files/webform/r2e002/746ec3b2c0e4ddd9cd6d5523814827015edda4dd.pdf,746ec3b2c0e4ddd9cd6d5523814827015edda4dd.pdf,documents/burundi/r2e002/746ec3b2c0e4ddd9cd6d5523814827015edda4dd/document.pdf,documents/burundi/r2e002/746ec3b2c0e4ddd9cd6d5523814827015edda4dd/document.md,c82c67f9c49785a5bf5c9903a30820e2731299c2e8952c51bf49bc733658d719,788b98ae99a2ee1d391eddf080903a5f,5604675,11,unstructured
Burundi,BI,Decree,Décret N°100/113 du 18 aout 2018 portant missions et organisation du Ministère de l’enseignement supérieur et de la recherche scientifique,2018,https://media.unesco.org/sites/default/files/webform/r2e002/7d8d7cf04fda565617c59c4f05cad1de876c4d56.pdf,7d8d7cf04fda565617c59c4f05cad1de876c4d56.pdf,documents/burundi/r2e002/7d8d7cf04fda565617c59c4f05cad1de876c4d56/document.pdf,documents/burundi/r2e002/7d8d7cf04fda565617c59c4f05cad1de876c4d56/document.md,f3e5f99fb92ad99d37b52613f5417e98bc865bb45e3afa19dff3655934dad20a,d431a8a9fe4e6416b378f1dbd301a19c,10558885,15,unstructured
Burundi,BI,Consultations,National Report submitted for the 7th Consultation on the 1974 Recommendation,1974,https://media.unesco.org/sites/default/files/webform/r2e002/burundi_for_publication.pdf,burundi_for_publication.pdf,documents/burundi/r2e002/burundi-for-publication/document.pdf,documents/burundi/r2e002/burundi-for-publication/document.md,792d6d430beb9133dec315db0894c9c054ce87a742c8c0abf93f99de62a710e0,49d2163fa0f0820ddbc2877c550305c1,769889,30,docling+structure-repair
Burundi,BI,Law,Loi n°1:19 du 10 septembre 2013 portant organisation de l'enseignement de base et secondaire,2013,https://media.unesco.org/sites/default/files/webform/r2e002/c28a59b52a5498df6851c5d9360f89009c44398e.pdf,c28a59b52a5498df6851c5d9360f89009c44398e.pdf,documents/burundi/r2e002/c28a59b52a5498df6851c5d9360f89009c44398e/document.pdf,documents/burundi/r2e002/c28a59b52a5498df6851c5d9360f89009c44398e/document.md,3ed65d45aeac91886c8b4cb2d9e134452a0904b945f329370368236d8855b9d0,54146cfcd913af671ee4908f851c24a4,1263619,23,llamaparse
Burundi,BI,Decree,"Décret N°100/38 du 16 février 2016 portant missions, organisation et fonctionnement du ministère de l’éducation, de l’enseignement supérieur et de la recherche scientifique",2016,https://media.unesco.org/sites/default/files/webform/r2e002/c4c97016db01a8a133047991f1873554d16ff030.pdf,c4c97016db01a8a133047991f1873554d16ff030.pdf,documents/burundi/r2e002/c4c97016db01a8a133047991f1873554d16ff030/document.pdf,documents/burundi/r2e002/c4c97016db01a8a133047991f1873554d16ff030/document.md,00899875b185ea4e6cb1c76ebc3f9894bfdc57270e2ca66c7edb53cba090214f,18ee802e9ccd3cecfab398845bc2c5f3,13567935,43,paddleocr
Burundi,BI,Decree,"Décret N°100/122 du 25 aout 2018 portant missions et organisation du Ministère de l’éducation, de la formation technique et professionnelle",2018,https://media.unesco.org/sites/default/files/webform/r2e002/e7eea2ae0f16d969d5e9f707250ed1faf34d6086.pdf,e7eea2ae0f16d969d5e9f707250ed1faf34d6086.pdf,documents/burundi/r2e002/e7eea2ae0f16d969d5e9f707250ed1faf34d6086/document.pdf,documents/burundi/r2e002/e7eea2ae0f16d969d5e9f707250ed1faf34d6086/document.md,aa4bbc44ec22aeb8fa865b56b082be330e2ec3e718d109ddf36754362ebf91b3,3a0e0cc924de7bc98b7951a81aececac,7231574,46,llamaparse
Cabo Verde,CV,Law,Legislative Decree No. 42/03/20 on Secondary Education Evaluation System - 2003,2003,https://media.unesco.org/sites/default/files/webform/r2e002/1ca4bf23cecbe32d6022e04f28411b211438609b.pdf,1ca4bf23cecbe32d6022e04f28411b211438609b.pdf,documents/cabo-verde/r2e002/1ca4bf23cecbe32d6022e04f28411b211438609b/document.pdf,documents/cabo-verde/r2e002/1ca4bf23cecbe32d6022e04f28411b211438609b/document.md,08e196f52922bf4b70ebf5b19557af2967c13dadb026bdd7ad42cabd6b61bc4c,50b2bd87b992d767f5ee290486cf2d99,146462,15,docling+structure-repair
Cabo Verde,CV,Decree,Legislative Decree No.2/2010 revising the Education system - 2010,2010,https://media.unesco.org/sites/default/files/webform/r2e002/47988872b5842b6e805e45ded7aaf85aaa608df5.pdf,47988872b5842b6e805e45ded7aaf85aaa608df5.pdf,documents/cabo-verde/r2e002/47988872b5842b6e805e45ded7aaf85aaa608df5/document.pdf,documents/cabo-verde/r2e002/47988872b5842b6e805e45ded7aaf85aaa608df5/document.md,c52108eddf2df30bb945ac7615d557efd3c91e5d04bafe80fc0fcad4d7ce9cdd,ca81ab063b7e96c86a3b202d082e5cfd,341625,20,docling+structure-repair
Cabo Verde,CV,Law,Basic Law of the Education System - 1990,1990,https://media.unesco.org/sites/default/files/webform/r2e002/6e91cb4eb0fdcf264c81b6a663d5f60944b7442d.pdf,6e91cb4eb0fdcf264c81b6a663d5f60944b7442d.pdf,documents/cabo-verde/r2e002/6e91cb4eb0fdcf264c81b6a663d5f60944b7442d/document.pdf,documents/cabo-verde/r2e002/6e91cb4eb0fdcf264c81b6a663d5f60944b7442d/document.md,92d0266c1d5daef35e51f47caf1ae315315481f45bbcb0e90b9200e474776b4a,d8a874155c3bdc9044825def375d3efa,172970,25,docling+structure-repair
Cabo Verde,CV,Law,Legislative Decree No.2/2004 on the Statute of Teaching staff - 2004,2004,https://media.unesco.org/sites/default/files/webform/r2e002/a39e77034bd0dfd252ede13001258f5040fd86d5.pdf,a39e77034bd0dfd252ede13001258f5040fd86d5.pdf,documents/cabo-verde/r2e002/a39e77034bd0dfd252ede13001258f5040fd86d5/document.pdf,documents/cabo-verde/r2e002/a39e77034bd0dfd252ede13001258f5040fd86d5/document.md,9dafd346732debc15d196223247d78f2ea534084dcc2533e47acc1ff75a92fe0,a124ae5928ce510c5772ae03d7471c35,248162,34,docling+structure-repair
Cabo Verde,CV,Law,"Framework Law on Education of 2010, amended in 2018",2018,https://media.unesco.org/sites/default/files/webform/r2e002/c9b5a30e7092d13c527da07fbfe39ee8a3b30548.pdf,c9b5a30e7092d13c527da07fbfe39ee8a3b30548.pdf,documents/cabo-verde/r2e002/c9b5a30e7092d13c527da07fbfe39ee8a3b30548/document.pdf,documents/cabo-verde/r2e002/c9b5a30e7092d13c527da07fbfe39ee8a3b30548/document.md,9087e7f9b04317e666217d81882eabf20c94820195ca5ccd2f8bc35dc9834e4a,86308e7baf1e12fbc039e0f97515a380,829672,22,docling+structure-repair
Cabo Verde,CV,Decree,Legislative Decree No. 32/2007 on the Statute of Private Education - 2007,2007,https://media.unesco.org/sites/default/files/webform/r2e002/f5b90bc2c3753942e670f15ca7c97ff2abe13aea.pdf,f5b90bc2c3753942e670f15ca7c97ff2abe13aea.pdf,documents/cabo-verde/r2e002/f5b90bc2c3753942e670f15ca7c97ff2abe13aea/document.pdf,documents/cabo-verde/r2e002/f5b90bc2c3753942e670f15ca7c97ff2abe13aea/document.md,55769cb984e2fe00595fbe54856dfc9e3f99918d9de88fd90e96c43d4a9fc929,edeed771068643df2e70f209f23084fb,74293,26,docling+structure-repair
Cabo Verde,CV,Programme/plan,Cooperation Agreement between UNESCO and the Community of Portuguese Speaking Countries - 2000,2000,https://media.unesco.org/sites/default/files/webform/r2e002/f993441cd6b1490355188dec774143d620248c05.pdf,f993441cd6b1490355188dec774143d620248c05.pdf,documents/cabo-verde/r2e002/f993441cd6b1490355188dec774143d620248c05/document.pdf,documents/cabo-verde/r2e002/f993441cd6b1490355188dec774143d620248c05/document.md,1e16c48ab075be9d1d8f3ba92524c219a3355851ab6ba781cd7c7efedbf859ae,4cdc2cde43613e9c4ffc1ae81964d85c,1426074,5,docling+structure-repair
Cambodia,KH,Programme/plan,Policy on Higher Education 2030 - 2014 (in Khmer),2014,https://media.unesco.org/sites/default/files/webform/r2e002/7dddd738f9b4bc32764cbe1c93b5cc5ebb772010.pdf,7dddd738f9b4bc32764cbe1c93b5cc5ebb772010.pdf,documents/cambodia/r2e002/7dddd738f9b4bc32764cbe1c93b5cc5ebb772010/document.pdf,documents/cambodia/r2e002/7dddd738f9b4bc32764cbe1c93b5cc5ebb772010/document.md,f3e8941c03697d3cfbe5fff88a8cea4164caaee44ebf7c322cf2842e21b60960,b3f8a7638dce9fdc92cce94716becf2c,670326,14,docling+structure-repair
Canada,CA,Law,Canadian Human Rights Act - 1985 (Bilingual version in French and English),1985,https://media.unesco.org/sites/default/files/webform/r2e002/613466e8301c3df3dcdb18134b8c4eb2158857e2.pdf,613466e8301c3df3dcdb18134b8c4eb2158857e2.pdf,documents/canada/r2e002/613466e8301c3df3dcdb18134b8c4eb2158857e2/document.pdf,documents/canada/r2e002/613466e8301c3df3dcdb18134b8c4eb2158857e2/document.md,3ab13148ab1c2078f0776eb89dfb6ecce0a66aa6d2ccbfeea244228032c82c4a,583caaef476372f82551d90c29bd9d1b,488800,53,docling+structure-repair
Canada,CA,Law,Citizenship Act - 1985 (Bilingual version in French and English),1985,https://media.unesco.org/sites/default/files/webform/r2e002/6df6f77aeed7022edda539d817a3470a99d485ad.pdf,6df6f77aeed7022edda539d817a3470a99d485ad.pdf,documents/canada/r2e002/6df6f77aeed7022edda539d817a3470a99d485ad/document.pdf,documents/canada/r2e002/6df6f77aeed7022edda539d817a3470a99d485ad/document.md,9a5abfcfed8866852678c58ddf36677e8df0a3bf66c2792fe83eb8ef5ac5ba87,52290e2bb1467d52e7cacb23a7eddc6c,169928,34,docling+structure-repair
Canada,CA,Law,Canadian Multiculturalism Act - 1985 (Bilingual version in French and English),1985,https://media.unesco.org/sites/default/files/webform/r2e002/7ab0dc49df4927066749ecbd5eb259bd9bc8aa4f.pdf,7ab0dc49df4927066749ecbd5eb259bd9bc8aa4f.pdf,documents/canada/r2e002/7ab0dc49df4927066749ecbd5eb259bd9bc8aa4f/document.pdf,documents/canada/r2e002/7ab0dc49df4927066749ecbd5eb259bd9bc8aa4f/document.md,939f74bfe33a910aab86fedee7ceddb8f137964cc70dd652fe7bbda2e126ff97,42d8ed7f0368908de1b79bebeb2c7ce5,173838,10,docling+structure-repair
Canada,CA,Law,Prince Edward Island: Schools Act - 1988,1988,https://media.unesco.org/sites/default/files/webform/r2e002/9d594fac7e905b9864bc7526f174db7838c60eba.pdf,9d594fac7e905b9864bc7526f174db7838c60eba.pdf,documents/canada/r2e002/9d594fac7e905b9864bc7526f174db7838c60eba/document.pdf,documents/canada/r2e002/9d594fac7e905b9864bc7526f174db7838c60eba/document.md,78812de4725331587efe1bbea4cb97c6016c8d73429dcf2441a10cc31e4a24d0,a42f8bdcf838a5e59c5cca164ef7d238,241099,47,docling+structure-repair
